00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,06,05,06
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,11,12,11,12
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,05,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,11,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,06,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,11,12,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,05,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,11,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,06,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,01,03,06
05,04,06,00,00,00,00,00,00,00,00,00,00,05,06,00,00,00,00,00,00,04,07,09,04
11,04,12,00,00,00,00,00,00,00,00,00,05,04,04,06,00,00,00,00,00,11,13,15,12
00,00,00,00,00,00,00,00,00,00,00,00,04,04,04,04,00,00,00,00,00,00,11,12,00
00,00,00,00,00,00,00,00,00,00,00,00,11,04,04,12,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,05,06,00,00,00,00,11,12,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,05,04,04,04,06,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,05,01,02,02,02,03,06,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,11,13,14,14,14,15,12,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,11,04,04,04,12,00,00,00,00,00,00,00,00,00,00,00,00,00,00
